Año,Toneladas,region,temp_media,temp_min,precipitacion_total,humedad_media,Cultivo,Region
2015,4704976.0,Puno,7.820246575342465,2.139780821917808,439.04,57.617041095890414,Papa,Puno
2016,5389231.02,Puno,8.20827868852459,2.1475683060109287,404.54,54.909699453551916,Papa,Puno
2017,4776294.0,Puno,8.159780821917808,2.526821917808219,496.15,59.27515068493151,Papa,Puno
2018,5133927.31,Puno,7.814876712328767,2.2264657534246575,655.37,61.055369863013695,Papa,Puno
2019,5389231.02,Puno,8.056027397260273,2.472191780821918,448.46000000000004,61.22704109589041,Papa,Puno
2020,5515378.0,Puno,8.18155737704918,2.5019398907103825,510.41,59.73439890710383,Papa,Puno
2021,5702349.88,Puno,8.08572602739726,2.327917808219178,527.92,59.74087671232876,Papa,Puno
2022,6047211.38,Puno,7.989397260273973,1.6074520547945206,360.41,54.33054794520548,Papa,Puno
2023,5456350.83,Puno,8.875397260273973,3.084,671.16,57.41665753424658,Papa,Puno
2024,6579754.11,Puno,9.221666666666668,3.531857923497268,412.57,59.279754098360655,Papa,Puno
2015,251938.0,SanMartin,25.01276712328767,21.046082191780823,1191.24,77.93435616438356,Cafe,SanMartin
2016,277760.4,SanMartin,25.56844262295082,21.496584699453553,1108.23,75.71306010928961,Cafe,SanMartin
2017,337330.0,SanMartin,24.280356164383562,20.766246575342468,1303.3,82.30419178082191,Cafe,SanMartin
2018,369621.99,SanMartin,24.22980821917808,20.613342465753423,1323.34,81.30473972602739,Cafe,SanMartin
2019,363319.59,SanMartin,24.445424657534247,20.857479452054793,1395.82,81.51690410958903,Cafe,SanMartin
2020,353205.74,SanMartin,25.374863387978145,21.50049180327869,1015.88,76.85598360655737,Cafe,SanMartin
2021,363996.83,SanMartin,25.81487671232877,21.5927397260274,873.1800000000001,70.9869589041096,Cafe,SanMartin
2022,357346.42,SanMartin,25.86419178082192,21.487479452054796,914.36,69.6644109589041,Cafe,SanMartin
2023,366940.03,SanMartin,27.106383561643835,22.57972602739726,651.74,65.01794520547945,Cafe,SanMartin
2024,358993.78,SanMartin,27.60808743169399,22.93653005464481,620.87,64.60325136612022,Cafe,SanMartin
2015,92592.0,SanMartin,25.01276712328767,21.046082191780823,1191.24,77.93435616438356,Cacao,SanMartin
2016,107921.51,SanMartin,25.56844262295082,21.496584699453553,1108.23,75.71306010928961,Cacao,SanMartin
2017,121814.0,SanMartin,24.280356164383562,20.766246575342468,1303.3,82.30419178082191,Cacao,SanMartin
2018,134675.74,SanMartin,24.22980821917808,20.613342465753423,1323.34,81.30473972602739,Cacao,SanMartin
2019,141775.25,SanMartin,24.445424657534247,20.857479452054793,1395.82,81.51690410958903,Cacao,SanMartin
2020,158943.58,SanMartin,25.374863387978145,21.50049180327869,1015.88,76.85598360655737,Cacao,SanMartin
2021,160521.54,SanMartin,25.81487671232877,21.5927397260274,873.1800000000001,70.9869589041096,Cacao,SanMartin
2022,172705.33,SanMartin,25.86419178082192,21.487479452054796,914.36,69.6644109589041,Cacao,SanMartin
2023,166935.88,SanMartin,27.106383561643835,22.57972602739726,651.74,65.01794520547945,Cacao,SanMartin
2024,157252.5,SanMartin,27.60808743169399,22.93653005464481,620.87,64.60325136612022,Cacao,SanMartin
2015,3151408.0,SanMartin,25.01276712328767,21.046082191780823,1191.24,77.93435616438356,Arroz,SanMartin
2016,3190969.47,SanMartin,25.56844262295082,21.496584699453553,1108.23,75.71306010928961,Arroz,SanMartin
2017,3115544.0,SanMartin,24.280356164383562,20.766246575342468,1303.3,82.30419178082191,Arroz,SanMartin
2018,3557899.99,SanMartin,24.22980821917808,20.613342465753423,1323.34,81.30473972602739,Arroz,SanMartin
2019,3190969.47,SanMartin,24.445424657534247,20.857479452054793,1395.82,81.51690410958903,Arroz,SanMartin
2020,3434199.0,SanMartin,25.374863387978145,21.50049180327869,1015.88,76.85598360655737,Arroz,SanMartin
2021,3538443.59,SanMartin,25.81487671232877,21.5927397260274,873.1800000000001,70.9869589041096,Arroz,SanMartin
2022,3347685.78,SanMartin,25.86419178082192,21.487479452054796,914.36,69.6644109589041,Arroz,SanMartin
2023,3402367.71,SanMartin,27.106383561643835,22.57972602739726,651.74,65.01794520547945,Arroz,SanMartin
2024,3640432.02,SanMartin,27.60808743169399,22.93653005464481,620.87,64.60325136612022,Arroz,SanMartin
2015,1746428.0,LaLibertad,18.69904109589041,14.097315068493153,194.41,65.22969863013698,Maiz,LaLibertad
