Cultivo,Region,Año,temp_media,temp_max,temp_min,precipitacion_total,humedad_media,fuente_produccion
Achiote,SanMartin,2015,25.01276712328767,30.152876712328766,21.046082191780823,1191.24,77.93435616438356,solo_clima_NASA_POWER
Achiote,SanMartin,2016,25.56844262295082,30.843360655737705,21.496584699453553,1108.23,75.71306010928961,solo_clima_NASA_POWER
Achiote,SanMartin,2017,24.280356164383562,28.936520547945204,20.766246575342468,1303.3,82.30419178082191,solo_clima_NASA_POWER
Achiote,SanMartin,2018,24.22980821917808,29.013315068493153,20.613342465753423,1323.34,81.30473972602739,solo_clima_NASA_POWER
Achiote,SanMartin,2019,24.445424657534247,29.158986301369865,20.857479452054793,1395.82,81.51690410958903,solo_clima_NASA_POWER
Achiote,SanMartin,2020,25.374863387978145,30.27185792349727,21.50049180327869,1015.88,76.85598360655737,solo_clima_NASA_POWER
Achiote,SanMartin,2021,25.81487671232877,31.04649315068493,21.5927397260274,873.1800000000001,70.9869589041096,solo_clima_NASA_POWER
Achiote,SanMartin,2022,25.86419178082192,31.244931506849316,21.487479452054796,914.36,69.6644109589041,solo_clima_NASA_POWER
Achiote,SanMartin,2023,27.106383561643835,32.57410958904109,22.57972602739726,651.74,65.01794520547945,solo_clima_NASA_POWER
Achiote,SanMartin,2024,27.60808743169399,33.27344262295082,22.93653005464481,620.87,64.60325136612022,solo_clima_NASA_POWER
Achiote,SanMartin,2025,26.10841095890411,31.526849315068493,21.798575342465753,969.62,70.92904109589041,solo_clima_NASA_POWER
Achiote,SanMartin,2026,24.00845303867403,27.82232044198895,21.118342541436466,767.7,86.52386740331491,solo_clima_NASA_POWER
Aguaje,Loreto,2015,25.92219178082192,28.597424657534244,23.52191780821918,2942.17,89.40339726027398,solo_clima_NASA_POWER
Aguaje,Loreto,2016,26.052076502732238,28.78795081967213,23.622322404371587,2614.73,89.9687431693989,solo_clima_NASA_POWER
Aguaje,Loreto,2017,25.69413698630137,28.37043835616438,23.30509589041096,2389.68,90.01438356164384,solo_clima_NASA_POWER
Aguaje,Loreto,2018,25.563808219178085,28.28495890410959,23.146,2279.31,89.57197260273973,solo_clima_NASA_POWER
Aguaje,Loreto,2019,25.83468493150685,28.452465753424658,23.48835616438356,3702.2,89.7506301369863,solo_clima_NASA_POWER
Aguaje,Loreto,2020,25.937185792349727,28.704508196721314,23.460573770491802,3448.7400000000002,89.89196721311475,solo_clima_NASA_POWER
Aguaje,Loreto,2021,25.544630136986303,28.253479452054794,23.181068493150686,3378.63,90.57276712328766,solo_clima_NASA_POWER
Aguaje,Loreto,2022,25.45904109589041,28.25794520547945,22.981205479452054,2685.33,90.15942465753426,solo_clima_NASA_POWER
Aguaje,Loreto,2023,25.965013698630134,28.75079452054795,23.506109589041095,2918.5,89.64246575342466,solo_clima_NASA_POWER
Aguaje,Loreto,2024,26.46207650273224,29.228360655737706,24.01983606557377,3244.55,90.09890710382513,solo_clima_NASA_POWER
Aguaje,Loreto,2025,25.884,28.640520547945208,23.511726027397263,2567.15,89.79060273972603,solo_clima_NASA_POWER
Aguaje,Loreto,2026,25.778121546961327,28.34635359116022,23.60314917127072,1458.66,90.6686187845304,solo_clima_NASA_POWER
Camu_camu,Loreto,2015,25.92219178082192,28.597424657534244,23.52191780821918,2942.17,89.40339726027398,solo_clima_NASA_POWER
Camu_camu,Loreto,2016,26.052076502732238,28.78795081967213,23.622322404371587,2614.73,89.9687431693989,solo_clima_NASA_POWER
Camu_camu,Loreto,2017,25.69413698630137,28.37043835616438,23.30509589041096,2389.68,90.01438356164384,solo_clima_NASA_POWER
Camu_camu,Loreto,2018,25.563808219178085,28.28495890410959,23.146,2279.31,89.57197260273973,solo_clima_NASA_POWER
Camu_camu,Loreto,2019,25.83468493150685,28.452465753424658,23.48835616438356,3702.2,89.7506301369863,solo_clima_NASA_POWER
Camu_camu,Loreto,2020,25.937185792349727,28.704508196721314,23.460573770491802,3448.7400000000002,89.89196721311475,solo_clima_NASA_POWER
Camu_camu,Loreto,2021,25.544630136986303,28.253479452054794,23.181068493150686,3378.63,90.57276712328766,solo_clima_NASA_POWER
Camu_camu,Loreto,2022,25.45904109589041,28.25794520547945,22.981205479452054,2685.33,90.15942465753426,solo_clima_NASA_POWER
Camu_camu,Loreto,2023,25.965013698630134,28.75079452054795,23.506109589041095,2918.5,89.64246575342466,solo_clima_NASA_POWER
Camu_camu,Loreto,2024,26.46207650273224,29.228360655737706,24.01983606557377,3244.55,90.09890710382513,solo_clima_NASA_POWER
Camu_camu,Loreto,2025,25.884,28.640520547945208,23.511726027397263,2567.15,89.79060273972603,solo_clima_NASA_POWER
